feature_1	feature_2	feature_3	feature_4	feature_5	feature_6	feature_7	feature_8	feature_9	feature_10	feature_11	feature_12	feature_13	feature_14	feature_15	feature_16	feature_17	feature_18	feature_19	feature_20	feature_21	feature_22	feature_23	feature_24	feature_25	feature_26	feature_27	feature_28	feature_29	feature_30
t99	0.066	1.434	0.8	1.049	1.03	-0.076	-1.883	-1.563	-0.198	-2.195	0.765	-1.567	-0.657	-1.169	0.892	-0.78	-1.105	0.968	-1.226	0.561	1.565	-0.273	1.237	-0.448	0.706	1.622	0.819	-0.18	-1.118	0.916
t135	-0.49	0.885	1.201	1.309	1.233	0.205	-1.624	-1.171	-0.619	-1.898	0.711	-1.656	-0.806	-1.79	1.041	-0.649	-1.685	0.426	-1.41	0.481	0.892	-0.268	1.654	0.2	0.977	1.671	0.87	-0.191	-0.466	0.956
t64	0.301	1.02	0.868	1.109	1.46	-0.001	-1.91	-0.956	-0.59	-2.212	0.739	-1.113	-0.8	-1.251	0.99	-0.87	-1.327	0.661	-1.373	0.556	0.745	-0.34	1.318	-0.248	0.814	1.666	0.715	-0.205	-0.731	0.956
t46	0.144	1.089	0.641	0.902	1.528	-0.098	-2.071	-0.758	-0.765	-2.046	0.658	-0.942	-0.199	-0.898	0.834	-0.865	-1.216	0.57	-1.122	0.733	0.672	-0.239	1.086	-0.581	1.154	1.529	0.384	-0.185	-0.767	0.822
t19	-0.284	1.143	0.807	1.094	1.152	-0.081	-1.738	-0.577	-0.556	-2.279	0.686	-1.134	-0.456	-1.353	0.866	-0.827	-1.223	0.57	-1.401	0.58	0.857	-0.35	1.235	0.28	0.896	1.617	0.58	-0.242	-0.74	0.872
t25	0.137	1.104	0.825	1.059	1.176	-0.065	-1.182	-0.931	-0.302	-2.429	0.775	-0.886	-1.288	-1.537	1.049	-0.996	-1.204	0.772	-1.622	0.506	0.688	-0.517	1.386	0.923	0.314	1.729	0.704	-0.35	-0.831	0.986
t136	-0.46	1.441	0.621	0.897	0.802	-0.184	-1.458	-0.133	-0.334	-2.218	0.702	-1.112	-0.422	-1.283	0.742	-0.495	-1.155	0.589	-1.63	0.501	1.012	-0.406	1.257	0.651	0.623	1.545	0.481	-0.257	-1.121	0.799
t161	0.543	1.104	0.314	0.966	1.46	-0.134	-1.824	-1.512	-0.606	-2.144	0.691	-1.02	-0.744	-0.791	0.837	-0.881	-1.325	0.898	-1.385	0.698	1.004	-0.36	1.326	0.376	0.875	1.567	0.597	-0.255	-1.107	0.827
t128	0.152	1.37	0.447	1.05	1.247	-0.206	-1.878	-1.4	-0.523	-1.987	0.703	-1.582	-0.118	-0.068	0.647	-0.662	-1.25	0.782	-1.232	0.564	1.302	-0.236	1.12	-0.77	1.119	1.476	0.608	-0.096	-1.356	0.77
t177	-0.221	0.885	0.536	0.853	1.667	-0.115	-1.837	0.089	-1.063	-1.708	0.599	-0.735	-0.41	-0.728	0.819	-1.056	-1.374	0.231	-0.939	0.747	0.391	-0.195	1.086	-0.236	1.387	1.432	0.087	-0.187	-0.727	0.713
t62	-0.6	1.067	0.621	0.914	1.352	-0.008	-1.701	0.162	-0.913	-1.79	0.649	-0.867	-0.305	-1.035	0.771	-0.624	-1.692	0.324	-1.329	0.382	0.757	-0.209	1.373	-0.121	1.163	1.453	0.377	-0.135	-0.766	0.723
t39	0.393	1.383	0.446	0.905	1.294	-0.176	-1.871	-2.466	-0.379	-1.756	0.671	-1.654	-0.018	-0.232	0.714	-0.974	-1.154	0.994	-0.71	0.613	1.608	-0.077	0.997	-1.033	1.348	1.412	0.454	-0.1	-1.375	0.735
t187	-0.4	1.324	0.741	0.668	1.232	0.024	-1.89	-0.112	-0.536	-1.523	0.715	-0.935	-0.27	-1.203	0.907	-0.61	-1.389	0.398	-0.95	0.273	0.874	-0.073	1.215	-0.869	0.952	1.46	0.196	-0.122	-0.883	0.779
