"lambda","mu","rho","turnover","net_div","class","relative_mode","relative_median","cv","endpoint_ratio","trend","turnover_bin"
0.45,0.15,0.4,0.333333333333333,0.3,"Decaying",1e-04,0.294659719438878,0.539128650402901,0.129562277364976,-0.870437722635024,"Med-Low (0.25-0.5)"
0.5,0.15,0.4,0.3,0.35,"Decaying",1e-04,0.270614028056112,0.621681785204943,0.0884330817792155,-0.911566918220785,"Med-Low (0.25-0.5)"
0.2,0.2,0.4,1,0,"Decaying",1e-04,0.356777755511022,0.345312702264411,0.30869136,-0.69130864,"High (0.75-1)"
0.25,0.2,0.4,0.8,0.05,"Decaying",1e-04,0.358781563126253,0.339942037530661,0.312408661258389,-0.687591338741611,"High (0.75-1)"
0.3,0.2,0.4,0.666666666666667,0.1,"Decaying",1e-04,0.352770140280561,0.357230557142801,0.289976258420355,-0.710023741579645,"Med-High (0.5-0.75)"
0.35,0.2,0.4,0.571428571428571,0.15,"Decaying",1e-04,0.338743486973948,0.395234462803325,0.248202919334056,-0.751797080665944,"Med-High (0.5-0.75)"
0.4,0.2,0.4,0.5,0.2,"Decaying",1e-04,0.320709218436874,0.450109672339788,0.197870799799091,-0.802129200200909,"Med-Low (0.25-0.5)"
0.45,0.2,0.4,0.444444444444444,0.25,"Decaying",1e-04,0.298667334669339,0.517061665472711,0.148714352496238,-0.851285647503762,"Med-Low (0.25-0.5)"
0.5,0.2,0.4,0.4,0.3,"Decaying",1e-04,0.276625450901804,0.591430842680509,0.106655929272052,-0.893344070727948,"Med-Low (0.25-0.5)"
0.25,0.25,0.4,1,0,"Decaying",1e-04,0.332732064128257,0.409515851165824,0.2500500025,-0.7499499975,"High (0.75-1)"
0.3,0.25,0.4,0.833333333333333,0.05,"Decaying",1e-04,0.334735871743487,0.40475297274806,0.252227084152486,-0.747772915847514,"High (0.75-1)"
0.35,0.25,0.4,0.714285714285714,0.1,"Decaying",1e-04,0.328724448897796,0.420964925661792,0.234415738015168,-0.765584261984832,"Med-High (0.5-0.75)"
0.4,0.25,0.4,0.625,0.15,"Decaying",1e-04,0.316701603206413,0.456373372050337,0.20173113845536,-0.798268861544639,"Med-High (0.5-0.75)"
0.45,0.25,0.4,0.555555555555556,0.2,"Decaying",1e-04,0.300671142284569,0.507587457617544,0.162192789118809,-0.837807210881191,"Med-High (0.5-0.75)"
0.5,0.25,0.4,0.5,0.25,"Decaying",1e-04,0.280633066132265,0.57037082954695,0.123169978442433,-0.876830021557567,"Med-Low (0.25-0.5)"
