Actinobacteria_Actinomycetales	Bacteroidetes_Bacteroidales	Firmicutes_Bacillales	Firmicutes_Clostridiales	Firmicutes_Erysipelotrichales	Firmicutes_Lactobacillales	Fusobacteria_Fusobacteriales	Proteobacteria_Burkholderiales	Proteobacteria_Campylobacterales	Proteobacteria_Enterobacteriales	Proteobacteria_Legionellales	Proteobacteria_Pseudomonadales	Proteobacteria_Rhizobiales	Tenericutes_Mycoplasmatales
Picoides_pubescens	0.01	0.005	0.001	0.01	0.001	0.057	0	0.002	0	0.736	0	0.125	0.011	0.042
Picoides_villosus	0.153	0.001	0.006	0.322	0	0.009	0	0.005	0	0.238	0.009	0.015	0.242	0
Sphyrapicus_ruber	0.252	0.242	0.016	0.173	0.038	0.004	0.004	0.002	0.258	0	0	0.001	0.009	0
Indicator_variegatus	0.143	0.011	0.001	0.244	0	0.09	0	0.009	0	0.442	0.001	0.055	0.004	0
Malacoptila_panamensis	0.049	0.096	0.006	0.292	0.113	0.266	0.02	0.016	0.052	0.027	0.002	0.031	0.03	0
Nonnula_frontalis	0.009	0.57	0.004	0.256	0.023	0.039	0.002	0.008	0.025	0.049	0	0.002	0.008	0.005
Trogon_rufus	0.001	0.573	0	0.326	0.015	0.001	0.002	0	0.057	0.024	0	0	0	0
Trogon_massena	0.147	0.367	0.009	0.061	0	0.118	0	0.003	0.085	0.006	0.006	0.002	0.196	0
Aegolius_acadicus	0.045	0.003	0.002	0.007	0	0.284	0.064	0	0.066	0.04	0	0.004	0.001	0.484
Athene_cunicularia	0.163	0.259	0.018	0.23	0.053	0.035	0.123	0.014	0	0.094	0.004	0.002	0.003	0
Glaucidium_perlatum	0.305	0.046	0.004	0.373	0.095	0.033	0.07	0.016	0.001	0.008	0	0.009	0.04	0
Surnia_ulula	0	0.302	0	0.376	0.104	0.007	0.16	0.013	0	0.037	0	0	0	0
Bubo_lacteus	0.034	0.007	0.04	0.757	0.033	0.063	0.001	0.002	0.023	0.035	0	0.002	0.001	0.001
Strix_varia	0.022	0.081	0.011	0.242	0.012	0.51	0.02	0.012	0	0.063	0	0.012	0.015	0
Ninox_novaeseelandiae	0.017	0.164	0.015	0.405	0.034	0.022	0.002	0.002	0	0.066	0	0.266	0.005	0.001
Tyto_alba	0.026	0.226	0.008	0.033	0.002	0.561	0.006	0.003	0.001	0.092	0.03	0.002	0.002	0.009
Actitis_hypoleucos	0.062	0.117	0.018	0.056	0.009	0.194	0.368	0.004	0.119	0.008	0.009	0.02	0.006	0.011
Actitis_macularia	0.006	0.037	0.011	0.194	0	0.154	0.006	0.001	0.001	0.12	0.456	0.003	0.009	0.001
Tringa_semipalmata	0.002	0.015	0.133	0.299	0.205	0.15	0.027	0	0.004	0.162	0	0	0.003	0
Tringa_glareola	0.017	0.063	0.004	0.115	0.048	0.117	0.14	0.003	0.195	0.049	0.001	0.009	0.013	0.227
Tringa_totanus	0.001	0.14	0.001	0.012	0	0.301	0.358	0	0.01	0.176	0	0.002	0	0.001
Tringa_brevipes	0.083	0.147	0.015	0.014	0	0.209	0.435	0.001	0.018	0.034	0.002	0.02	0.003	0.02
Xenus_cinereus	0.027	0.02	0.002	0.123	0.044	0.159	0.36	0	0.007	0.006	0	0.001	0.005	0.245
Gallinago_gallinago	0.011	0.244	0	0.447	0.081	0.062	0.01	0	0.064	0.013	0.001	0	0.04	0.026
Limnodromus_scolopaceus	0.358	0.008	0.148	0.107	0.037	0.07	0.004	0.031	0.001	0.019	0.004	0.072	0.142	0
Calidris_pugnax	0.063	0.001	0.02	0.369	0	0.039	0.447	0	0.014	0.007	0.017	0.017	0.004	0.002
Calidris_ruficollis	0.019	0.157	0.004	0.1	0.006	0.098	0.198	0.001	0.199	0.031	0	0.007	0	0.179
Calidris_mauri	0.057	0.024	0.009	0.148	0.007	0.191	0.009	0.002	0.289	0.059	0.003	0.084	0.017	0.099
Calidris_pusilla	0.022	0.027	0.019	0.3	0.009	0.259	0.089	0.007	0.132	0.076	0.003	0.043	0.013	0.002
